;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
403;america-mg;Mateus Pasinato;1;10;0;0;0;0;0;0;0;0;0;7;2;3;0;1;0;0;0;0;0;0
404;flamengo;Matheus Gonçalves;1;9;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0
405;internacional;Rômulo;1;9;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0
406;fortaleza;Maurício Kozlinski;1;9;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
407;bragantino;Talisson;1;9;1;2;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0
408;fluminense;Alan;1;8;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
409;vasco;Rwan Seco;2;8;0;1;0;0;0;0;0;0;1;0;0;0;2;3;0;0;0;4;0;0
410;internacional;Estevão;1;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
411;america-mg;Henrique Almeida;2;8;1;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;3;0;0
412;flamengo;Rodrigo Caio;1;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
413;palmeiras;Luis Guilherme;2;7;0;0;2;1;0;0;0;0;1;0;0;1;0;2;1;0;0;3;0;0
414;goias;Jhonny Lucas;2;7;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1;0
415;goias;Philippe Almeida;1;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
416;vasco;Matías Galarza;4;7;0;1;0;0;0;0;0;0;0;1;0;2;2;1;0;0;0;5;1;0
417;cruzeiro;Henrique Dourado;2;7;0;1;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;3;1;0
418;bragantino;Guilherme Lopes;1;7;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0
419;gremio;Gustavo Martins;2;7;0;2;0;0;0;0;0;0;0;2;0;5;3;0;0;0;0;0;1;0
420;corinthians;Wesley Teixeira;1;6;2;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;4;0;0
421;coritiba;Marcos Vinícius;1;6;0;0;0;0;2;0;0;0;0;0;0;1;1;1;1;0;0;2;0;0
422;athletico-pr;Tomás Cuello;1;6;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
423;bragantino;Cleiton;1;6;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;1
424;bahia;Lucas Mugni;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
425;bahia;Kayky;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
426;atletico-mg;Réver;1;5;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;1;0
427;goias;Apodi;3;5;2;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;3;0;0
428;bragantino;Alerrandro;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
429;botafogo;Janderson;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
430;botafogo;Segovia;1;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
431;corinthians;Giovane;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
432;santos;Lucas Barbosa;1;4;1;3;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0
433;palmeiras;Bruno Tabata;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434;vasco;Eguinaldo;1;4;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1;0
435;internacional;Gabriel Barros;1;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0
436;gremio;Gustavinho;1;4;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0
437;america-mg;Wellington Paulista;2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
438;bahia;Vinicius Mingotti;1;4;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0
439;sao-paulo;David;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
440;athletico-pr;Matheus Felipe;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
441;santos;Bruno Mezenga;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
442;america-mg;Renato Marques;1;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0
443;atletico-mg;Isaac;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0
444;athletico-pr;Reinaldo;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
445;palmeiras;Giovani;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
446;fluminense;Isaac;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0
447;athletico-pr;Willian;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
448;santos;Luan Dias;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;1;0
449;corinthians;Júnior Moraes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
450;athletico-pr;Bryan García;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
451;athletico-pr;Léo Linck;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
452;santos;Vinicius Balieiro;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
453;vasco;Paulo Victor;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
454;vasco;Manuel Capasso;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
